"Page","URL_full","og.title","Pageviews","Unique.Pageviews","Avg..Time.on.Page","Entrances","Bounce.Rate","X..Exit","Page.Value","Meta","pub_time"
"81","/contact","http://americamagazine.org/contact",NA,"945","780","0:02:25","284","57.69%","55.03%","$0.00","Contact Us","2012-10-12T16:03:16-04:00"
"82","/content/dispatches/pope-tells-priests-nothing-unites-us-god-more-act-mercy","http://americamagazine.org/content/dispatches/pope-tells-priests-nothing-unites-us-god-more-act-mercy",NA,"939","877","0:05:18","542","82.82%","74.33%","$0.00","Pope Francis tells priests: ‘Nothing unites us to God more than an act of mercy.’","2016-06-02T10:45:28-04:00"
"83","/issue/repeal-second-amendment","http://americamagazine.org/issue/repeal-second-amendment",NA,"938","876","0:08:58","867","89.68%","91.47%","$0.00","Repeal the Second Amendment","2013-02-12T17:01:09-05:00"
"84","/content/good-word/sight-vs-insight","http://americamagazine.org/content/good-word/sight-vs-insight",NA,"914","860","0:03:03","418","83.29%","63.35%","$0.00","The young may see better, but the old comprehend more.","2016-06-10T11:06:01-04:00"
"85","/content/all-things/story-ugandan-martyrs","http://americamagazine.org/content/all-things/story-ugandan-martyrs",NA,"888","805","0:09:51","798","87.12%","89.19%","$0.00","The Story of the Ugandan Martyrs","2011-06-03T09:18:04-04:00"
"86","/top-ten-takeaways-laudato-si","http://americamagazine.org/top-ten-takeaways-laudato-si",NA,"886","787","0:05:36","732","84.17%","83.97%","$0.00","Top Ten Takeaways from 'Laudato Si''","2015-06-18T06:00:36-04:00"
"87","/user","http://americamagazine.org/user",NA,"885","479","0:01:26","115","33.91%","21.36%","$0.00","My Profile",NA
"88","/content/the-word/mercys-healing","http://americamagazine.org/content/the-word/mercys-healing",NA,"877","822","0:04:12","516","89.38%","77.42%","$0.00",NA,"2016-05-12T12:22:34-04:00"
"89","/content/dispatches/after-brexit-ireland-faces-partition-once-again","http://americamagazine.org/content/dispatches/after-brexit-ireland-faces-partition-once-again",NA,"874","827","0:03:35","494","80.36%","66.25%","$0.00","Northern Ireland may be a small part of the U.K., but it will suffer the severe consequences","2016-06-27T17:40:42-04:00"
"90","/issue/5138/article/why-they-left","http://americamagazine.org/issue/5138/article/why-they-left",NA,"872","817","0:08:58","797","88.50%","91.63%","$0.00","Why They Left","2012-04-30T00:00:00-04:00"
"91","/content/all-things/sell-everything-you-have","http://americamagazine.org/content/all-things/sell-everything-you-have",NA,"859","786","0:02:54","539","70.32%","60.30%","$0.00","'Sell everything you have': just as hard as it sounds","2016-05-31T13:39:18-04:00"
"92","/content/all-things/evolution-catholic-masculinity-15-questions-dr-aqualus-gordon","http://americamagazine.org/content/all-things/evolution-catholic-masculinity-15-questions-dr-aqualus-gordon",NA,"840","757","0:07:29","498","61.35%","73.33%","$0.00","The Evolution of Catholic Masculinity: 15 Questions for Dr. Aqualus Gordon","2016-06-22T12:34:38-04:00"
"93","/issue/studying-women-deacons","http://americamagazine.org/issue/studying-women-deacons",NA,"840","742","0:03:15","102","55.24%","46.31%","$0.00","It's time to start studying women deacons.","2016-05-25T16:27:16-04:00"
"94","/issue/priest-his-people","http://americamagazine.org/issue/priest-his-people",NA,"831","761","0:05:16","593","83.72%","74.13%","$0.00","Martyr Rutilio Grande, S.J., is a model servant-leader for the church of Pope Francis.","2016-05-25T16:27:16-04:00"
"95","/issue/take-high-road-vermont-bishop-tells-catholic-communicators","http://americamagazine.org/issue/take-high-road-vermont-bishop-tells-catholic-communicators",NA,"818","786","0:04:02","717","87.31%","87.78%","$0.00","Take the high road, Vermont Bishop Coyne tells Catholic communicators","2016-06-03T09:45:10-04:00"
"96","/issue/libertarians-step","http://americamagazine.org/issue/libertarians-step",NA,"814","736","0:02:16","308","57.10%","48.89%","$0.00","A third party goes beyond the fringe","2016-06-02T13:31:18-04:00"
"97","/content/all-things/osama-bin-ladens-ghost-lurks","http://americamagazine.org/content/all-things/osama-bin-ladens-ghost-lurks",NA,"806","767","0:10:10","753","77.62%","93.30%","$0.00","How did Osama bin Laden really die? The truth matters.","2015-11-05T13:17:50-05:00"
"98","/content/unconventional-wisdom/clinton-makes-history-can-she-bring-change","http://americamagazine.org/content/unconventional-wisdom/clinton-makes-history-can-she-bring-change",NA,"804","706","0:03:30","253","65.49%","55.22%","$0.00","Clinton claims presidential nomination, 32 years after Ferraro","2016-06-08T14:59:20-04:00"
"99","/aboutus","http://americamagazine.org/aboutus",NA,"803","647","0:01:43","259","57.09%","37.11%","$0.00","America Media","2012-10-12T15:35:41-04:00"
"100","/content/dispatches/kenya-crisis-refocuses-attention-refugee-plight","http://americamagazine.org/content/dispatches/kenya-crisis-refocuses-attention-refugee-plight",NA,"793","711","0:05:11","613","83.58%","78.81%","$0.00","Camp closure in Kenya refocuses global attention on refugee crisis","2016-06-06T09:56:24-04:00"
