Page,URL,og:title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/content/all-things/mercy-matters-author-qa-mathew-n-schmalz,http://americamagazine.org/content/all-things/mercy-matters-author-qa-mathew-n-schmalz,,500,459,0:04:49,251,71.43%,70.20%,$0.00
/sections/media,http://americamagazine.org/sections/media,,499,392,0:00:30,173,60.12%,30.66%,$0.00
/sections/dispatches,http://americamagazine.org/sections/dispatches,,490,395,0:00:56,93,72.04%,35.92%,$0.00
/content/all-things/william-calley-lives,http://americamagazine.org/content/all-things/william-calley-lives,,489,456,0:08:34,445,76.67%,91.21%,$0.00
/issue/448/article/vatican-concordat-hitlers-reich,http://americamagazine.org/issue/448/article/vatican-concordat-hitlers-reich,,487,462,0:08:32,459,94.14%,94.05%,$0.00
/issue/not-peanuts,http://americamagazine.org/issue/not-peanuts,,477,447,0:02:12,204,73.30%,54.09%,$0.00
/issue/supreme-indecision,http://americamagazine.org/issue/supreme-indecision,,472,444,0:02:06,155,87.74%,45.76%,$0.00
/issue/home-rules,http://americamagazine.org/issue/home-rules,,466,427,0:02:39,245,88.21%,65.02%,$0.00
/issue/many-things-131,http://americamagazine.org/issue/many-things-131,,465,433,0:02:16,201,82.09%,57.20%,$0.00
/content/all-things/gift-parenting-autistic-son-author-qa-ron-fournier,http://americamagazine.org/content/all-things/gift-parenting-autistic-son-author-qa-ron-fournier,,464,420,0:08:10,334,60.77%,80.60%,$0.00
/archives/2007,http://americamagazine.org/archives/2007,,463,184,0:00:10,0,0.00%,0.86%,$0.00
/issue/worth-fig,http://americamagazine.org/issue/worth-fig,,461,436,0:07:31,418,88.04%,90.24%,$0.00
/content/all-things/muhammad-ali-fighter-fists-and-words,http://americamagazine.org/content/all-things/muhammad-ali-fighter-fists-and-words,,457,403,0:03:36,229,84.72%,64.55%,$0.00
/issue/next-stop-cairo,http://americamagazine.org/issue/next-stop-cairo,,457,426,0:02:53,207,78.26%,58.21%,$0.00
/issue/aids-epidemic-35,http://americamagazine.org/issue/aids-epidemic-35,,451,412,0:03:36,278,68.71%,56.54%,$0.00
/issue/pope-francis-visit-sweden-reformations-500th,http://americamagazine.org/issue/pope-francis-visit-sweden-reformations-500th,,449,418,0:03:14,347,87.03%,81.51%,$0.00
/content/good-word/top-twelve-parables,http://americamagazine.org/content/good-word/top-twelve-parables,,432,408,0:06:43,408,90.69%,93.75%,$0.00
/resources-america-community,http://americamagazine.org/resources-america-community,,428,315,0:00:27,53,92.45%,25.23%,$0.00
/issue/pope-beatitudes-guide-us-path-christian-life,http://americamagazine.org/issue/pope-beatitudes-guide-us-path-christian-life,,426,398,0:03:28,273,87.18%,73.00%,$0.00
/content/all-things/ashley-mckinless-named-egan-journalism-fellow,http://americamagazine.org/content/all-things/ashley-mckinless-named-egan-journalism-fellow,,420,370,0:03:21,250,66.14%,67.62%,$0.00
/content/all-things/st-petersburg-center-world,http://americamagazine.org/content/all-things/st-petersburg-center-world,,420,378,0:03:51,158,85.99%,55.48%,$0.00
